ENTO_ID,Target_Organism_Name,Target_Type,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus
ENTO00023,Alcaligenes faecalis MTCC 126,ORGANISM,511,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes
ENTO00024,Alternaria alternata,ORGANISM,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00025,Alternaria alternata (Fries) Keissler,ORGANISM,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00026,Alternaria alternata BNCC 341716,ORGANISM,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00027,Alternaria alternata f. sp. mali,ORGANISM,1970213,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00028,Alternaria alternata YM 3073,ORGANISM,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00029,Alternaria brassicae,ORGANISM,29911,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00030,Alternaria brassicae QDAU-1,ORGANISM,29911,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00031,Alternaria brassicae QDIONA11,ORGANISM,29911,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00032,Alternaria brassicicola,ORGANISM,29001,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00033,Alternaria geophila,ORGANISM,1579461,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00034,Alternaria longipes,ORGANISM,160389,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00035,Alternaria longipes CGMCC 2875,ORGANISM,160389,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00036,Alternaria mali,ORGANISM,167741,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00037,Alternaria mali NBRC 8984,ORGANISM,167741,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00038,Alternaria panax,ORGANISM,48097,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00039,Alternaria solani,ORGANISM,48100,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00040,Alternaria solani QDAU-14,ORGANISM,48100,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00041,Alternaria sp. 'fragaria',ORGANISM,291290,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria
ENTO00042,Alteromonas macleodii MCC 2815,ORGANISM,28108,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas
ENTO00043,Amaranthus hypochondriacus,ORGANISM,28502,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus
ENTO00044,Amaranthus retroflexus,ORGANISM,124763,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus
ENTO00045,Amphibalanus reticulatus,ORGANISM,1232802,Eukaryota,Metazoa,Arthropoda,Thecostraca,Balanomorpha,Balanidae,Amphibalanus
ENTO00046,Anopheles gambiae,ORGANISM,7165,Eukaryota,Metazoa,Arthropoda,Insecta,Diptera,Culicidae,Anopheles
ENTO00047,Aphanomyces cochlioides,ORGANISM,112091,Eukaryota,No Rank at Level Kingdom,Oomycota,No Rank at Level Class,Saprolegniales,Saprolegniaceae,Aphanomyces
ENTO00048,Aphis gossypii,ORGANISM,80765,Eukaryota,Metazoa,Arthropoda,Insecta,Hemiptera,Aphididae,Aphis
ENTO00049,Arabidopsis thaliana,ORGANISM,3702,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Arabidopsis
ENTO00050,Armillaria rolfsii,ORGANISM,47424,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,No Rank at Level Genus
ENTO00051,Artemia salina,ORGANISM,85549,Eukaryota,Metazoa,Arthropoda,Branchiopoda,Anostraca,Artemiidae,Artemia
ENTO00052,Ascochyta gossypii Syd,ORGANISM,5453,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporineae,Didymellaceae
ENTO00053,Aspergillus alternata MLBM09,ORGANISM,5052,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00054,Aspergillus clavatus F 318a,ORGANISM,5057,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00055,Aspergillus faecalis,ORGANISM,5052,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00056,Aspergillus flavus,ORGANISM,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00057,Aspergillus fumigatus,ORGANISM,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00058,Aspergillus fumigatus ATCC 10894,ORGANISM,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00059,Aspergillus fumigatus ATCC 46645,ORGANISM,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00060,Aspergillus fumigatus ATCC 90906,ORGANISM,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00061,Aspergillus fumigatus DSM 819,ORGANISM,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00062,Aspergillus niger,ORGANISM,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00063,Aspergillus niger 16888,ORGANISM,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00064,Aspergillus niger ACCC 30005,ORGANISM,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00065,Aspergillus niger ATCC 16404,ORGANISM,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00066,Aspergillus niger ATCC 6275,ORGANISM,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00067,Aspergillus niger CBS 110271,ORGANISM,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00068,Aspergillus niger YM 3029,ORGANISM,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00069,Aspergillus ochraceus,ORGANISM,40380,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00070,Aspergillus pseudoglaucus,ORGANISM,1405805,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00071,Aspergillus tamarii,ORGANISM,41984,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00072,Aspergillus terreus,ORGANISM,33178,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00073,Aspergillus tubingensis,ORGANISM,5068,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus
ENTO00074,Athelia rolfsii,ORGANISM,39291,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Athelia
ENTO00075,Athelia rolfsii Sacc.,ORGANISM,39291,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Atheliaceae,Athelia
ENTO00076,Bacillus anthracis,ORGANISM,1392,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00077,Bacillus anthracis 14578,ORGANISM,1392,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00078,Bacillus anthracis 28,ORGANISM,1392,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00079,Bacillus anthracis 40/BA 100,ORGANISM,1392,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00080,Bacillus anthracis 62-8,ORGANISM,1392,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00081,Bacillus cereus,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00082,Bacillus cereus ATCC 11778,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00083,Bacillus cereus ATCC 14579,ORGANISM,226900,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00084,Bacillus cereus ATCC 6633,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00085,Bacillus cereus AUMC-B-5,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00086,Bacillus cereus Flankland,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00087,Bacillus cereus IIIM 25,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00088,Bacillus cereus MTCC 1272,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00089,Bacillus cereus NBRC 15305,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00090,Bacillus cereus NCIM No. 2106,ORGANISM,1396,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00091,Bacillus licheniformis,ORGANISM,1402,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00092,Bacillus megaterium,ORGANISM,1404,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia
ENTO00093,Bacillus megaterium ATCC 18,ORGANISM,1404,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Priestia
ENTO00094,Bacillus paratyphosus B,ORGANISM,1386,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00095,Bacillus pumilus ATCC 7061,ORGANISM,536229,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00096,Bacillus pumilus CMCC 63202,ORGANISM,1408,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00097,Bacillus sp.,ORGANISM,1409,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00098,Bacillus subtilis,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00099,Bacillus subtilis 1047,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00100,Bacillus subtilis 168 trpC2,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00101,Bacillus subtilis ATCC 11060,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00102,Bacillus subtilis ATCC 11562,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00103,Bacillus subtilis ATCC 169,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00104,Bacillus subtilis ATCC 6051,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00105,Bacillus subtilis ATCC 6633,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00106,Bacillus subtilis ATCC 7508,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00107,Bacillus subtilis ATCC 9372,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00108,Bacillus subtilis BGGS1A1,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00109,Bacillus subtilis CMCC(B) 63501,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00110,Bacillus subtilis DSM 10,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00111,Bacillus subtilis DSM 1088,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00112,Bacillus subtilis DSMZ 704,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00113,Bacillus subtilis H344,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00114,Bacillus subtilis MTCC 121,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00115,Bacillus subtilis MTCC 2763,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00116,Bacillus subtilis MTCC 441,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00117,Bacillus subtilis PCI219,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00118,Bacillus subtilis UBC 344,ORGANISM,1423,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00119,Bacillus thuringiensis,ORGANISM,1428,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus
ENTO00120,Bacterium paratyphosum B,ORGANISM,NA,Bacteria,No Rank at Level Kingdom,No Rank at Level Phylum,No Rank at Level Class,No Rank at Level Order,No Rank at Level Family,No Rank at Level Genus
ENTO00121,Bacteroides fragilis ATCC 23745,ORGANISM,817,Bacteria,No Rank at Level Kingdom,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides
ENTO00122,Beauveria bassiana,ORGANISM,176275,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Beauveria
ENTO00123,Berkeleyomyces basicola,ORGANISM,124036,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Berkeleyomyces
ENTO00124,Bipolaris maydis,ORGANISM,5016,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
ENTO00125,Bipolaris maydis QDAU-18,ORGANISM,5016,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
ENTO00126,Bipolaris maydis YM 3076,ORGANISM,5016,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
ENTO00127,Bipolaris oryzae,ORGANISM,101162,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
ENTO00128,Bipolaris sorokiniana,ORGANISM,45130,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
ENTO00129,Bipolaris sorokiniana QDAU-7,ORGANISM,45130,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
ENTO00130,Bipolaris zeicola Wilson,ORGANISM,5017,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris
ENTO00131,Bombyx mori,ORGANISM,7091,Eukaryota,Metazoa,Arthropoda,Insecta,Lepidoptera,Bombycidae,Bombyx
ENTO00132,Bos taurus,ORGANISM,9913,Eukaryota,Metazoa,Chordata,Mammalia,Artiodactyla,Bovidae,Bos
ENTO00133,Botryosphaeria berengeriana,ORGANISM,509207,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria
ENTO00134,Botryosphaeria berengeriana Nose,ORGANISM,509207,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria
ENTO00135,Botryosphaeria berengeriana Nose. QDAUNA15,ORGANISM,509207,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria
ENTO00136,Botryosphaeria berengeriana QDAU-6,ORGANISM,509207,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria
ENTO00137,Botryosphaeria dothidea,ORGANISM,55169,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Botryosphaeriaceae,Botryosphaeria
ENTO00138,Botrytis cinerea,ORGANISM,40559,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
ENTO00139,Botrytis cinerea BNCC 338228,ORGANISM,40559,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
ENTO00140,Botrytis cinerea Pers,ORGANISM,40559,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
ENTO00141,Botrytis cinerea YM 3061,ORGANISM,40559,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
ENTO00142,Botrytis cinerea YM 3093,ORGANISM,40559,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
ENTO00143,Botrytis fabiopsis,ORGANISM,1463997,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Helotiales,Sclerotiniaceae,Botrytis
ENTO00144,Bouteloua dactyloides,ORGANISM,160577,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Poaceae,Bouteloua
ENTO00145,Brassica rapa,ORGANISM,3711,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica
ENTO00146,Brassica rapa subsp. oleifera,ORGANISM,145471,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica
ENTO00147,Brugia malayi,ORGANISM,6279,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Onchocercidae,Brugia
ENTO00148,Burkholderia glumae,ORGANISM,337,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
ENTO00149,Burkholderia thailandensis,ORGANISM,57975,Bacteria,No Rank at Level Kingdom,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia
ENTO00150,Bursaphelenchus xylophilus,ORGANISM,6326,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Aphelenchoididae,Bursaphelenchus
ENTO00151,Caenorhabditis elegans,ORGANISM,6239,Eukaryota,Metazoa,Nematoda,Chromadorea,Rhabditida,Rhabditidae,Caenorhabditis
ENTO00152,Calonectria ilicicola,ORGANISM,182845,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Calonectria
ENTO00153,Canavalia ensiformis,ORGANISM,3823,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Canavalia
ENTO00154,Candida albicans,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00155,Candida albicans #54,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00156,Candida albicans As 2.538,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00157,Candida albicans ATCC 10231,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00158,Candida albicans ATCC 2019,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00159,Candida albicans ATCC 24433,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00160,Candida albicans ATCC 2538,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00161,Candida albicans ATCC 60193,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00162,Candida albicans ATCC 90028,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00163,Candida albicans AUMC-418,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00164,Candida albicans CGMCC 2.2086,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
ENTO00165,Candida albicans CMCC 98001,ORGANISM,5476,Eukaryota,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Debaryomycetaceae,Candida
