ENS_ID,Name,Tax_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,GenBank_ID,Closest_GenBank_ID,Endophyte_Type
ENS00012,Aeromicrobium ponti LGMB491,460257,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,KY411896,NA,Endophytic Bacteria
ENS00013,Akanthomyces sp. LN303,2204300,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Akanthomyces,MT022433,NA,Endophytic Fungus
ENS00014,Albifimbria viridis,1859700,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Stachybotryaceae,Albifimbria,MT110686.1,NA,Endophytic Fungus
ENS00015,Alkalihalobacillus sp. strain RAR_GA_16,2675277,Bacteria,No Rank at Level Kingdom,Bacillota,Bacilli,Bacillales,Bacillaceae,Alkalihalobacillus,OK649239,NA,Endophytic Bacteria
ENS00016,Allantophomopsis lycopodina KS-97,334518,Eukaryota,Fungi,Ascomycota,Leotiomycetes,Phacidiales,Phacidiaceae,Allantophomopsis,NA,NA,Endophytic Fungus
ENS00017,Allostreptomyces sp. K12-0794,1914443,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,No Rank at Level Genus,NA,NA,Endophytic Bacteria
ENS00018,Alternaria alternata BZGF-1,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MK078593,NA,Endophytic Fungus
ENS00019,Alternaria alternata (Fr.) Keissl. (MUM 16.02),5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00020,Alternaria alternata 13A,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MK248606,NA,Endophytic Fungus
ENS00021,Alternaria alternata DCM-EFS-11,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MG551266,NA,Endophytic Fungus
ENS00022,Alternaria alternata GDZZ-J6,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MZ410543,NA,Endophytic Fungus
ENS00023,Alternaria alternata JS0515,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00024,Alternaria alternata MGTMMP031,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KX198131,NA,Endophytic Fungus
ENS00025,Alternaria alternata MT-47,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00026,Alternaria alternata PUCR32,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KX987250,NA,Endophytic Fungus
ENS00027,Alternaria alternata Shm-1,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,MF422130.1,Endophytic Fungus
ENS00028,Alternaria alternata VS10,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KJ187398,NA,Endophytic Fungus
ENS00029,Alternaria alternata Y-4-2,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KY963000.1,NA,Endophytic Fungus
ENS00030,Alternaria alternata ZHJG5,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MT498268,NA,Endophytic Fungus
ENS00031,Alternaria alternata ZL,5599,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,OM331682,NA,Endophytic Fungus
ENS00032,Alternaria arborescens,156630,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00033,Alternaria brassicae AGF041,29911,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MK574817.1,NA,Endophytic Fungus
ENS00034,Alternaria brassicae GL07,29911,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,KU204772,Endophytic Fungus
ENS00035,Alternaria brassicae JS959,29911,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00036,Alternaria brassicicola,29001,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KR779774,NA,Endophytic Fungus
ENS00037,Alternaria eureka 1E1BL1,390885,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00038,Alternaria longipes,160389,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00039,Alternaria longipes VITN14G,160389,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KX499521,NA,Endophytic Fungus
ENS00040,Alternaria solani,48100,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,AY154716.1,Endophytic Fungus
ENS00041,Alternaria sp.,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00042,Alternaria sp. A744,1874904,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KF706672,NA,Endophytic Fungus
ENS00043,Alternaria sp. A8,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MG812521,NA,Endophytic Fungus
ENS00044,Alternaria sp. AST0039,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KY236016,NA,Endophytic Fungus
ENS00045,Alternaria sp. G28,1795775,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KT825854,NA,Endophytic Fungus
ENS00046,Alternaria sp. G7,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,JX847598,NA,Endophytic Fungus
ENS00047,Alternaria sp. HJT-Y7,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00048,Alternaria sp. J030,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,OM062590,NA,Endophytic Fungus
ENS00049,Alternaria sp. JCM9.2,578672,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,FJ465171,NA,Endophytic Fungus
ENS00050,Alternaria sp. KTDL7,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MF952617,NA,Endophytic Fungus
ENS00051,Alternaria sp. LGMF692,1544764,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KM510497,NA,Endophytic Fungus
ENS00052,Alternaria sp. LV52,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MK535535.1,NA,Endophytic Fungus
ENS00053,Alternaria sp. MG1,1678846,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,JN102357,NA,Endophytic Fungus
ENS00054,Alternaria sp. NF2128,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MK138621,NA,Endophytic Fungus
ENS00055,Alternaria sp. No. R6,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00056,Alternaria sp. PfuH1,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MK559619,NA,Endophytic Fungus
ENS00057,Alternaria sp. Samif01,1378256,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KC878695,NA,Endophytic Fungus
ENS00058,Alternaria sp. SK11,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,EU807936,NA,Endophytic Fungus
ENS00059,Alternaria sp. TNXY-P-1,1715220,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,KP872520.1,Endophytic Fungus
ENS00060,Alternaria sp. UFMGCB 55,455621,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00061,Alternaria sp. ZJ9-6B,559897,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,HM754629,NA,Endophytic Fungus
ENS00062,Alternaria tenuissima,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00063,Alternaria tenuissima AUMC14342,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,MT468650,NA,Endophytic Fungus
ENS00064,Alternaria tenuissima CH1307,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KU933254,NA,Endophytic Fungus
ENS00065,Alternaria tenuissima H14-1,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,FJ812353,NA,Endophytic Fungus
ENS00066,Alternaria tenuissima JL-7w,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00067,Alternaria tenuissima SBUp1,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,NA,NA,Endophytic Fungus
ENS00068,Alternaria tenuissima SP-07,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,KF919124,NA,Endophytic Fungus
ENS00069,Alternaria tenuissima TER995,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,LC170562,NA,Endophytic Fungus
ENS00070,Alternaria tenuissima ZM148,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,OM108509,NA,Endophytic Fungus
ENS00071,Alternaria tenuissima ZP28,119927,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria,OM108510,NA,Endophytic Fungus
ENS00072,Amesia nigricolor F5,1934353,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Amesia,MK646014,NA,Endophytic Fungus
ENS00073,Amorosia littoralis isolate SCSIO 41026,394427,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Amorosiaceae,Amorosia,OL826791,NA,Endophytic Fungus
ENS00074,Amphirosellinia nigrospora JS-1675,743113,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Amphirosellinia,MK037394,NA,Endophytic Fungus
ENS00075,Annulohypoxylon stygium AT-03,326628,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Annulohypoxylon,MF062512,NA,Endophytic Fungus
ENS00076,Annulohypoxylon truncatum,327061,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Hypoxylaceae,Annulohypoxylon,NA,NA,Endophytic Fungus
ENS00077,Anteaglonium sp. FL0768,2011806,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Anteagloniaceae,Anteaglonium,JQ760428.1,NA,Endophytic Fungus
ENS00078,Anthracobia sp.,2709752,Eukaryota,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Anthracobia,NA,NA,Endophytic Fungus
ENS00079,Apiospora arundinis TE-3,335852,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Apiospora,MK182939,NA,Endophytic Fungus
ENS00080,Apiospora marii M-211,335849,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Apiospora,LC644660,NA,Endophytic Fungus
ENS00081,Apiospora montagnei,255776,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Apiospora,NA,NA,Endophytic Fungus
ENS00082,Aplosporella javeedii isolate ZGB-B,1346708,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Aplosporellaceae,Aplosporella,MN720704,NA,Endophytic Fungus
ENS00083,Arcopilus aureus #12VVLPM,79815,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Arcopilus,MF597785,NA,Endophytic Fungus
ENS00084,Arcopilus eremanthusum CML3766,3025218,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Arcopilus,MN539886,NA,Endophytic Fungus
ENS00085,Armillaria sp.,1906949,Eukaryota,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,MK079569,NA,Endophytic Fungus
ENS00086,Arthrinium sp. MFLUCC16-0042,1756131,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,NA,NA,Endophytic Fungus
ENS00087,Arthrinium sp. MFLUCC16-1053,1756131,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Xylariales,Apiosporaceae,Arthrinium,KY665715,NA,Endophytic Fungus
ENS00088,Arthrobacter pascens TES15A,1677,Bacteria,No Rank at Level Kingdom,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,MF943244,NA,Endophytic Bacteria
ENS00089,Arthrographis kalrae,241728,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Eremomycetales,Eremomycetaceae,Arthrographis,MK967698,NA,Endophytic Fungus
ENS00090,Ascochyta medicaginicola strain JIAN518,107450,Eukaryota,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta,KT906673,NA,Endophytic Fungus
ENS00091,Ascomycete sp. Lrub20,371732,Eukaryota,Fungi,Ascomycota,No Rank at Level Class,No Rank at Level Order,No Rank at Level Family,No Rank at Level Genus,DQ381536,NA,Endophytic Fungus
ENS00092,Ascomycota sp. CYSK-4,1709939,Eukaryota,Fungi,Ascomycota,No Rank at Level Class,No Rank at Level Order,No Rank at Level Family,No Rank at Level Genus,MG571637,NA,Endophytic Fungus
ENS00093,Asordaria conoidea,303333,Eukaryota,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Asordaria,MN394547,NA,Endophytic Fungus
ENS00094,Aspergillus aculeatinus strain Tax-6,487661,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KU378102,NA,Endophytic Fungus
ENS00095,Aspergillus aculeatus F027,5053,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN088378,NA,Endophytic Fungus
ENS00096,Aspergillus alabamensis EN-547,657433,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MG461687,NA,Endophytic Fungus
ENS00097,Aspergillus amstelodami,5054,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MK215708,NA,Endophytic Fungus
ENS00098,Aspergillus amstelodami AUMC (EGY),5054,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,LC471409,NA,Endophytic Fungus
ENS00099,Aspergillus austroafricanus,1220192,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KP013121,NA,Endophytic Fungus
ENS00100,Aspergillus calidoustus strain UFMGCB 4107,454130,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KJ187305,NA,Endophytic Fungus
ENS00101,Aspergillus candidus HS-Y-23,41067,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00102,Aspergillus cejpii ST9.1,1884262,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00103,Aspergillus chevalieri KUFA 0006,182096,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KX431211,NA,Endophytic Fungus
ENS00104,Aspergillus clavatonanicus ZJUF0028,41054,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,DQ355025,NA,Endophytic Fungus
ENS00105,Aspergillus clavatus R7,5057,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KY765893,NA,Endophytic Fungus
ENS00106,Aspergillus clavatus Y2H0002,5057,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KP749943,NA,Endophytic Fungus
ENS00107,Aspergillus creber EN-602,1220201,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MW186501,NA,Endophytic Fungus
ENS00108,Aspergillus cristatus 2H1,573508,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00109,Aspergillus cristatus EN-220,573508,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,JQ743649,NA,Endophytic Fungus
ENS00110,Aspergillus fischeri JS0553,36630,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00111,Aspergillus flavipes,41900,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,JF831014.1,NA,Endophytic Fungus
ENS00112,Aspergillus flavipes AIL8,41900,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00113,Aspergillus flavipes strain KIB-536,41900,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MK720210,NA,Endophytic Fungus
ENS00114,Aspergillus flavipes Y-62,41900,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00115,Aspergillus flavus,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KJ473711,NA,Endophytic Fungus
ENS00116,Aspergillus flavus cf-5,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00117,Aspergillus flavus CL7,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN955851.1.,NA,Endophytic Fungus
ENS00118,Aspergillus flavus EFBL2021,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MT951414.1,NA,Endophytic Fungus
ENS00119,Aspergillus flavus HS-N-06,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,KU597196,Endophytic Fungus
ENS00120,Aspergillus flavus isolate EFB01,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MF377553,NA,Endophytic Fungus
ENS00121,Aspergillus flavus isolate HASH7,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MZ045563,NA,Endophytic Fungus
ENS00122,Aspergillus flavus isolate wf1,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Mk969114,NA,Endophytic Fungus
ENS00123,Aspergillus flavus L7,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,KF738806,NA,Endophytic Fungus
ENS00124,Aspergillus flavus QQSG-3,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,FJ011545.1,Endophytic Fungus
ENS00125,Aspergillus flavus SS2021,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MW485934,NA,Endophytic Fungus
ENS00126,Aspergillus flavus YRB2,5059,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,OM350008,NA,Endophytic Fungus
ENS00127,Aspergillus flocculosus CBS 112784,306089,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,FJ491571,NA,Endophytic Fungus
ENS00128,Aspergillus fumigatus GOL-1,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,OL989212,NA,Endophytic Fungus
ENS00129,Aspergillus fumigatus isolate HASH4,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MZ045562,NA,Endophytic Fungus
ENS00130,Aspergillus fumigatus LN-4,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00131,Aspergillus fumigatus SG-17,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MK450298,NA,Endophytic Fungus
ENS00132,Aspergillus fumigatus TXD105,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,LC171332,NA,Endophytic Fungus
ENS00133,Aspergillus fumigatus Y1,746128,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MZ854147,NA,Endophytic Fungus
ENS00134,Aspergillus lentulus,293939,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,KX903293.1,Endophytic Fungus
ENS00135,Aspergillus micronesiensis,1507543,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00136,Aspergillus nidulans HASH4,162425,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MZ045561,NA,Endophytic Fungus
ENS00137,Aspergillus nidulans MA-143,162425,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,JQ839285,NA,Endophytic Fungus
ENS00138,Aspergillus nidulans var. dentatus LMA 1705,162425,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,MK108395.1,Endophytic Fungus
ENS00139,Aspergillus niger,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00140,Aspergillus niger 58,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00141,Aspergillus niger E12,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,MN535797,NA,Endophytic Fungus
ENS00142,Aspergillus niger EF2,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00143,Aspergillus niger EN-13,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00144,Aspergillus niger Strain SH3,5061,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00145,Aspergillus oryzae cf-2,5062,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00146,Aspergillus parasiticus,5067,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,NA,NA,Endophytic Fungus
ENS00147,Aspergillus polyporicola R2,1588045,Eukaryota,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,ON557670,NA,Endophytic Fungus
